user_id	movie_id	rating	result
106	182	2	2.5475423
121	105	5	2.2350688
59	107	4	2.4006171
108	29	2	2.286659
184	9	3	2.5195062
178	170	2	2.582706
167	181	3	2.312283
73	100	4	2.6755877
96	21	4	2.4574368
177	94	5	2.4161196
185	7	4	2.4574368
39	27	4	2.870404
118	88	5	2.2886047
182	112	3	2.6333177
68	174	3	2.7613037
122	171	3	2.461325
46	176	3	2.4778779
104	84	4	2.6184871
148	114	3	2.5044405
6	52	5	2.4870706
128	115	5	2.6125867
146	130	3	2.549214
137	179	3	2.3552043
174	167	3	3.1683562
85	56	5	2.5343215
135	164	4	2.3587894
62	121	3	2.4669082
45	9	4	2.4574368
15	13	3	2.5457897
124	31	3	2.5132105
145	180	4	2.4462793
58	36	5	2.282212
34	41	2	2.4052463
183	66	4	2.6762736
32	178	4	2.282212
54	104	3	2.5475423
21	112	3	2.2317274
18	103	3	2.4574368
14	2	4	2.581875
99	146	1	2.7993126
